Date,Close,Volume,SMA_5,VMA_5,SMA_10,VMA_10,SMA_15,VMA_15,SMA_20,VMA_20,SMA_25,VMA_25,SMA_30,VMA_30,SMA_35,VMA_35,SMA_40,VMA_40,SMA_45,VMA_45,SMA_50,VMA_50,SMA_60,VMA_60,SMA_70,VMA_70,SMA_80,VMA_80,SMA_90,VMA_90,SMA_100,VMA_100,SMA_110,VMA_110,SMA_120,VMA_120,SMA_130,VMA_130,SMA_140,VMA_140,SMA_150,VMA_150,SMA_160,VMA_160,SMA_170,VMA_170,SMA_180,VMA_180,SMA_190,VMA_190,SMA_200,VMA_200,SMA_210,VMA_210,SMA_220,VMA_220,SMA_230,VMA_230,SMA_240,VMA_240,SMA_250,VMA_250,SMA_260,VMA_260,SMA_270,VMA_270,SMA_280,VMA_280,SMA_290,VMA_290,SMA_300,VMA_300,SMA_310,VMA_310,SMA_320,VMA_320,SMA_330,VMA_330,SMA_340,VMA_340,SMA_350,VMA_350,SMA_360,VMA_360,SMA_370,VMA_370,SMA_380,VMA_380,SMA_390,VMA_390,SMA_400,VMA_400,SMA_410,VMA_410,SMA_420,VMA_420,SMA_430,VMA_430,SMA_440,VMA_440,SMA_450,VMA_450,SMA_460,VMA_460,SMA_470,VMA_470,SMA_480,VMA_480,SMA_490,VMA_490,SMA_500,VMA_500,SMA_510,VMA_510,SMA_520,VMA_520,SMA_530,VMA_530,SMA_540,VMA_540,SMA_550,VMA_550,SMA_560,VMA_560,SMA_570,VMA_570,SMA_580,VMA_580,SMA_590,VMA_590,SMA_600,VMA_600,SMA_610,VMA_610,SMA_620,VMA_620,SMA_630,VMA_630,SMA_640,VMA_640,SMA_650,VMA_650,SMA_660,VMA_660,SMA_670,VMA_670,SMA_680,VMA_680,SMA_690,VMA_690,SMA_700,VMA_700,365D_High,365D_Low,180D_High,180D_Low,90D_High,90D_Low,30D_High,30D_Low,AllTime_High,AllTime_Low
2023-01-02,61500.0,1548935,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,1548935.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0,61500.0
2023-01-03,62400.0,1238318,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,61950.0,1393626.5,62400.0,61500.0,62400.0,61500.0,62400.0,61500.0,62400.0,61500.0,62400.0,61500.0
2023-01-04,62000.0,1051604,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,61966.666666666664,1279619.0,62400.0,61500.0,62400.0,61500.0,62400.0,61500.0,62400.0,61500.0,62400.0,61500.0
2023-01-05,61100.0,1591393,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,61750.0,1357562.5,62400.0,61100.0,62400.0,61100.0,62400.0,61100.0,62400.0,61100.0,62400.0,61100.0
2023-01-06,61500.0,1687827,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,61700.0,1423615.4,62400.0,61100.0,62400.0,61100.0,62400.0,61100.0,62400.0,61100.0,62400.0,61100.0
2023-01-09,64100.0,2081818,62220.0,1530192.0,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,62100.0,1533315.8333333333,64100.0,61100.0,64100.0,61100.0,64100.0,61100.0,64100.0,61100.0,64100.0,61100.0
2023-01-10,63900.0,920688,62520.0,1466666.0,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,62357.142857142855,1445797.5714285714,64100.0,61100.0,64100.0,61100.0,64100.0,61100.0,64100.0,61100.0,64100.0,61100.0
2023-01-11,64200.0,947231,62960.0,1445791.4,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,62587.5,1383476.75,64200.0,61100.0,64200.0,61100.0,64200.0,61100.0,64200.0,61100.0,64200.0,61100.0
2023-01-12,63900.0,1374463,63520.0,1402405.4,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,62733.333333333336,1382475.2222222222,64200.0,61100.0,64200.0,61100.0,64200.0,61100.0,64200.0,61100.0,64200.0,61100.0
2023-01-13,65300.0,1611359,64280.0,1387111.8,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,62990.0,1405363.6,65300.0,61100.0,65300.0,61100.0,65300.0,61100.0,65300.0,61100.0,65300.0,61100.0
